sample,individual,species,sample_type,sex,state,raw_reads,reads_lost_fastp_percent,reads_post_fastp,metagenomic reads,host_reads,read_length,metagenomic_bases,host_bases,metagenomic_bases_percent
EHI01233,SD0294701,Cathartes aura,Stomach contents,Female,Florida,24060482,0.047348179,22921262,11494701,11426561,146.8346843,1608285951,1757350319,0.501486393
EHI01116,SD0296701,Cathartes aura,Colon contents,Female,Texas,34702938,0.066034121,32411360,10343720,22067640,133.3221719,1278955458,3042197453,0.319138722
EHI01646,SD0294601,Coragyps atratus,Colon contents,Female,Florida,65379320,0.055719546,61736414,16877438,44858976,131.6206872,2087261736,6038527497,0.273378982
EHI01095,SD0295601,Coragyps atratus,Stomach contents,Male,Florida,52013204,0.05471303,49167404,44963052,4204352,143.6529881,6434078753,628965749,0.914489038
EHI01224,SD0296601,Coragyps atratus,Stomach contents,Female,Texas,20888260,0.029285733,20276532,5946604,14329928,147.6899999,790965528,2203675482,0.293275201
EHI01658,SD0294501,Cathartes aura,Stomach contents,Male,Florida,103903980,0.099282395,93588144,37450932,56137212,132.1948302,4650932608,7720936197,0.400167483
EHI01188,SD0296501,Coragyps atratus,Stomach contents,Female,Texas,20321974,0.030745734,19697160,4070632,15626528,147.5525303,0,2906365798,0.206660859
EHI01794,SD0297901,Cathartes aura,Stomach contents,Male,Texas,22694892,0.024492295,22139042,3409474,18729568,147.2030766,0,3258935096,0.154002779
EHI01120,SD0297601,Cathartes aura,Stomach contents,Female,Texas,33719496,0.088137379,30747548,5311102,25436446,132.3594214,0,4069727662,0.172732538
EHI01651,SD0295101,Cathartes aura,Colon contents,Female,Florida,65444366,0.061103442,61445490,39887492,21557998,137.865757,5386219171,3085009822,0.649152476
EHI01800,SD0295801,Cathartes aura,Colon contents,Male,Florida,48800196,0.034009945,47140504,16239736,30900768,147.5370754,2170702609,4784269485,0.344496444
EHI01125,SD0297601,Cathartes aura,Colon contents,Female,Texas,32639524,0.10423038,29237494,5566964,23670530,130.8550833,0,3825874713,0.190404964
EHI01182,SD0296801,Coragyps atratus,Stomach contents,Male,Texas,22664060,0.021924668,22167158,7521821,14645337,147.7513772,1030494081,2244734042,0.339322749
EHI01152,SD0296801,Coragyps atratus,Colon contents,Male,Texas,42695216,0.051002435,40517656,10098704,30418952,137.8334849,1262366627,4322323101,0.249242059
EHI01654,SD0296001,Coragyps atratus,Colon contents,Female,Florida,93482082,0.038503678,89882678,20215582,69667096,143.8315849,2516531544,10411436487,0.224910766
EHI01128,SD0296901,Coragyps atratus,Colon contents,Female,Texas,59929108,0.070082438,55729130,11092134,44636996,133.3938452,1351155668,6082767271,0.199036554
EHI01653,SD0294501,Cathartes aura,Colon contents,Male,Florida,63532636,0.128969873,55338840,19868428,35470412,130.7992216,2435813587,4802463612,0.359032246
EHI01097,SD0295601,Coragyps atratus,Colon contents,Male,Florida,26797378,0.06834497,24965912,6788914,18176998,131.2899929,0,3277774408,0.271927338
EHI01090,SD0294801,Cathartes aura,Colon contents,Female,Florida,70121586,0.059805607,65927922,38560082,27367840,136.8430498,5130134555,3891643356,0.584882411
EHI01220,SD0296001,Coragyps atratus,Stomach contents,Female,Florida,23816620,0.033864755,23010076,4398696,18611380,147.3719783,0,3391040421,0.191163906
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sum,,,,,,4909213848,,4634803456,1723681547,2911121909,,2.16146E+11,4.32207E+11,
Median,,,,,,44392050,0.051293914,42457266,11618990,25528468,139.3735144,1429463564,3891643356,0.260745291
