EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01108	AII24	Coragyps atratus	Texas, 7.8 mi N of Alice	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	32052924	26362016	0.0659075164359052	0	4402742851	0.14462946673556654	11.7951467997624	0.906187863472587
EHI01189	AIG31	Cathartes aura	Florida, 4.1 mi N of Brooker	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.74	23308028	370630	0.020633234562008274	3400657762	59160815	0.03082567981619455	19.9222517974629	0.643096651503212
EHI01109	AIH70	Coragyps atratus	Florida, 1.4 mi W of Hasan	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.86	-82.46	0.0	22946552	17274620	0.05793761862737601	0	3125795836	0.14447722721136425	12.8298004721874	0.878163737061778
EHI01283	AGD07	Canis familiaris	Daneborg	Faecal	Carnivora	Male	recLVY3Rb8dPMd92q	74.18	-20.22	100.0	54511426	1862948	0.013860728503947373	7831375754	272615552	0.02263131859007761	17.88014266654	0.972329893791642
EHI01121	AIH92	Coragyps atratus	Texas, 7.8 mi N of Alice	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	16011882	12399834	0.1340877115259983	0	2061206631	0.25687513357601266	10.9026025719846	0.905274427539627
EHI01187	AII31	Coragyps atratus	Texas, 7.8 mi N of Alice	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	17844736	14469059	0.03261708894589965	0	2631976641	0.04878419989066707	11.622338477846	0.903779527353127
EHI01190	AIJ02	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.35	-98.24	0.0	36496638	30981720	0.026258335529567578	0	5357319759	0.04710027277416706	11.7149211649022	0.938968763160622
EHI01193	AIH97	Cathartes aura	Texas, 7.8 mi N of Alice	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	22380466	18711472	0.030712772479676187	0	3293188883	0.04915714680119643	11.9153296190722	0.92112278365021
EHI01106	AIJ15	Cathartes aura	Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company	Colon contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	27.35	-98.24	49.87	31277018	23396680	0.0429092921376254	976916173	3382271747	0.11071269602110356	15.0241283806623	0.892772840680078
EHI02789	AGN60	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.09	145.6	74.34	38830346	1173774	0.03346886055083664	5434645424	170396074	0.06989460498724631	18.8053429872158	0.842385310059114
EHI01155	AIH44	Cathartes aura	Florida, 1.4 mi W of Hasan	Duodenum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.86	-82.46	0.0	17526712	14486396	0.05344803972440393	0	2416660912	0.12990140475292433	11.4258692864614	0.909149015920044
EHI02835	AGN92	Trichosurus vulpecula	Rocky Cape, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-40.89	145.48	68.08	37324370	332551	0.024618801788846678	5326635410	46904442	0.06383778400383022	19.4533282834349	0.785206889633516
EHI01246	AAW32	Psittacula echo	Grand Gauges, Nazca	Faecal	Psittaciformes	Unknown	recxJddnYy3ExEL7a	-20.38	57.44	84.18	199745382	141742110	0.04610230396046566	8234807138	20588802054	0.08233925528942487	18.1105239958673	0.933808788167953
EHI01221	AIG20	Cathartes aura	Florida, 4.1 mi N of Brooker	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	25656472	21823888	0.04943837275853724	0	3774078569	0.06781304774723207	11.8595591347963	0.934020390512672
EHI01135	AIF57	Cathartes aura	Florida, Lake Butler	Jejunum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	30.03	-82.35	0.0	41120088	34356530	0.051451451488396804	0	5682184983	0.12616459413558345	11.9502475344882	0.933670784211851
EHI01279	AGZ31	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.8	19.09	90.37	37490528	175403	0.024236083132145092	5548717301	29290134	0.03214337532694178	15.9262854496104	0.986508149642393
EHI01130	AIF66	Coragyps atratus	Florida, Lake Butler	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	30.03	-82.35	0.0	34175736	27157208	0.054325668892110324	0	4632282316	0.145469662904269	11.9715420650552	0.910578531373081
EHI01184	AIH48	Cathartes aura	Florida, 1.4 mi W of Hasan	Colon contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.86	-82.46	75.88	18117110	9006627	0.03974530322387515	1261113152	1409999614	0.0561597741324209	16.728428645493	0.91580599805231
EHI01100	AIF99	Coragyps atratus	Florida, 4.1 mi N of Brooker	Duodenum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	23836854	18817004	0.04227692071320577	0	3244295650	0.1309991886136339	11.3916367070139	0.915252959863548
EHI01102	AII13	Coragyps atratus	Texas, 7.8 mi N of Alice	Jejunum contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	37321582	29695972	0.08275220087130919	0	4990723576	0.18229078711156643	12.0147271885717	0.90508065727294
EHI01365	AGZ39	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.66	19.2	84.03	42599614	709813	0.043470011480260196	6219376416	110679630	0.05243453817684984	15.789526876576	0.963976902016517
EHI01107	AIH81	Coragyps atratus	Texas, 7.8 mi N of Alice	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	0.0	24838628	19350992	0.053485590846623854	0	3402755769	0.13555145740785224	11.71870706395	0.89865634578028
EHI01091	AIF77	Cathartes aura	Florida, 4.1 mi N of Brooker	Duodenum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	52905508	43169760	0.06639822204258783	0	7138338332	0.16021782855870148	12.0252828530092	0.939796318337437
EHI01101	AIF53	Cathartes aura	Florida, Lake Butler	Stomach contents	Accipitriformes	Male	recTM9xQvYOxMLTyY	30.03	-82.35	7.24	49282654	29650128	0.09196709796152436	2452268908	4107120177	0.1942883722060299	17.6531299026636	0.642372462692513
EHI01143	AIG26	Cathartes aura	Florida, 4.1 mi N of Brooker	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	86.76	28129526	9925362	0.05485349142264251	2469945357	1433702974	0.12558792239431293	16.9148323977137	0.928047790385059
EHI01104	AII37	Coragyps atratus	Texas, 7.8 mi N of Alice	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	27.86	-98.05	7.91	47142124	34389904	0.08428826394432687	1532780476	4617462065	0.20356448451034803	12.3739581560261	0.912385874943385
