Sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01828,AIG97E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.5899,71473944,24870000,0.04035944618194500,6579357577,3831029109,0.06817051681443090,17.2573711462058,0.976865737731073
EHI01105,AIJ26E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.34850000000000000,40580548,29743800,0.05129391429395550,1321762905,4229939989,0.13473579811857000,14.1975429358826,0.909185909294576
EHI01643,AIH92E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0028000000000000000,36602400,28302472,0.1468598857258790,972774455,3665609366,0.27924738940703800,11.6431671274625,0.920883267936371
EHI01792,AIJ48E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.5939,31352238,21801438,0.023927723380377400,1240521491,3342902507,0.04871158980934150,14.69762729505,0.941120264260422
EHI01126,AIF59E1L1I1,Cathartes aura,"Florida, Lake Butler",Colon contents,Accipitriformes,Male,United States,30.02768,-82.34884,0.524,31523326,20218112,0.11629095988148800,1398148988,2776849221,0.21973469005736700,15.8552521449918,0.885776240998548
EHI01802,AII92E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.11450000000000000,43543850,34367236,0.019107024793853800,1164392552,5263822142,0.034629745040684800,12.4747782354942,0.926270959262523
EHI01648,AII15E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Male,United States,27.86424,-98.05131,0.2138,67976660,50803184,0.05702200908904540,2144622005,7153414733,0.1401123069187290,13.869041149269,0.902505910621625
EHI01110,AIH59E1L1I1,Coragyps atratus,"Florida, 1.4 mi W of Hasan",Colon contents,Accipitriformes,Female,United States,29.85755,-82.4619,0.2606,41048108,31033496,0.0674561735315733,1263811225,4434919929,0.13689622326953700,13.7937055340838,0.887616007081258
EHI01793,AII53E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0208,46302750,37251984,0.0337307684714766,1109386207,5727298935,0.048857285530152000,12.3352338208601,0.938288277570347
EHI01635,AIG42E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.0021,88148428,957809,0.029390620194007700,12612458592,147799971,0.06330515994397300,19.8797420881275,0.804205871014938
