	EHI01184	EHI01652	EHI01139	EHI01101	EHI01106	EHI01651	EHI01147	EHI01640	EHI01233	EHI01095	EHI01186	EHI01097	EHI01790	EHI01109	EHI01828	EHI01089	EHI01638	EHI01098	EHI01824	EHI01219	EHI01645	EHI01189	EHI01788	EHI01797	EHI01146	EHI01660	EHI01798	EHI01656	EHI01648	EHI01196	EHI01128	EHI01634	EHI01182	EHI01117	EHI01792	EHI01185	EHI01152	EHI01636	EHI01120	EHI01647	EHI01187	EHI01794	EHI01789	EHI01642	EHI01823	EHI01188	EHI01802	EHI01221	EHI01104	EHI01641	EHI01653	EHI01796	EHI01822	EHI01220	EHI01650	EHI01793	EHI01090	EHI01126	EHI01125	EHI01119	EHI01799	EHI01637	EHI01661	EHI01654	EHI01635	EHI01821	EHI01801	EHI01639	EHI01107	EHI01659	EHI01643	EHI01110	EHI01192	EHI01800	EHI01195	EHI01649	EHI01791	EHI01087	EHI01795	EHI01127	EHI01644	EHI01105	EHI01787	EHI01646	EHI01143	EHI01116	EHI01224	EHI01121	EHI01655	EHI01657	EHI01223	EHI01140	EHI01658	EHI01193	EHI01820
EHA02611_bin.59	2800	67	1586	756	920	26098	352	30076	64201	495	197	7	31	128	11425	25439	907	1843	318	1063	8184	47	15387	59	36	368	2488	378	5044	4508	44	4562	8283	381	2076	65929	2880	0	2	54195	56	60	228	1643	8244	146	508	26	381	3918	5840	39011	342602	36	4492	39	31680	3243	219	155	374	573	8268	1847	178	617	1321	9	28	18986	9	9002	2	4230	6730	102	1149	1199	2384	1566	2079	3081	24	2623	11889	3598	1440	9	892	64	1605	51	1359	467	1300
EHA02611_bin.9	269	1918	588	1591	514	360	359	843	2409	1478	1629	615	857	366	684	298	2546	756	1869	1566	2066	323	545	475	354	718	1273	1843	1197	350	1103	1727	2537	304	470	479	663	841	603	605	367	427	557	1442	3547	478	598	312	1148	1483	1159	92	31418	562	1853	1084	896	567	451	797	1022	1588	2390	1667	1021	3281	899	1222	357	1147	393	590	519	762	22931	969	1128	371	403	825	1005	916	962	1324	152	848	3110	205	3113	628	117184	258	3168	768	13145
EHA02637_bin.10	0	20	0	1338	26716	35844	2	30136	0	0	2	65	0	118	0	123	6	0	0	0	93	0	0	0	2	13951	12	0	0	208	15	0	0	0	28164	4	3	0	0	257	0	0	0	3	0	0	2	0	4	0	343935	254	0	0	5	0	32547	201522	9633	0	10237	339	8805	0	6	0	0	82	169	271	6	136	0	8680	3	7	0	0	47131	51	59820	3535	0	76	15625	40	0	0	2	355	22	0	2660	0	4
EHA02637_bin.13	15	8	262	176	315	23257	21	485659	1159	133	5	2	0	32	38	860	30	5	2	5014	251	2	3	0	3	0	73	2	259	34	0	328	41	13	399	50	154	0	0	1786	2	0	0	70	1012	9	29	0	18	755	784	30758	34919	1	42	9	504605	425	0	0	71	79	352	85	15	184	22	10	15	376	2	196	5	171	325	16	6	82	224	28	736	108	0	46	10478	119	11	0	262	25	57	10	333	0	38
EHA02637_bin.16	476	34	338	84	119	35091	27	400051	245	95	6	2	0	13	136	610	745	2	7	141	985	4	194	3	0	33	519	1	431	250	29	449	88	67	124	81	224	0	0	1271	8	0	41	115	960	2	121	4	354	957	1634	117902	8651	2	33	5	429104	838	20	2	22	71	400	399	4	32	86	1	6	353	6	145	2	411	105	8	268	127	1216	58	259	168	0	97	16187	437	13	2	150	19	35	1	120	0	250
EHA02637_bin.18	1079	0	612	2	41	244	2	1166	6981	136	0	0	0	11	8	168477	5	6	1	6	860	12	11	0	0	2	47	0	6	18	0	213	12	72	124	97	4	0	2	337831	0	0	2	32	6	0	17	0	1	1361	76	751	185	3	7	0	1257	86	1	4	56	23	1141	317	23	10	5	0	5	171	0	83	0	396	375	6	6	41	49	2	112	440	2	2	115	372	4	0	309	15	31	9	16	0	6
EHA02637_bin.35	4	0	473	23	876	818746	2	3468	37	37	1	0	2	0	2	444	4	2	0	431	64	4	0	0	0	0	9	0	11	0	0	41	31	0	4	116	6	0	0	717	1	0	0	12	32	0	1	727	4	1236	787	6637	6694	0	6	0	3423	488	0	0	2	2	61	3	33	9	11	1	0	15	0	6	0	22	28	8	12	2	57	3	2002	28	0	13	376217	25	8	0	83	0	77	10	92	0	27
EHA02637_bin.37	98210	1265	53005	12	3478	150440	4051	2086830	0	6	0	0	4	6	18	282237	11553	0	0	2	81956	26	0	943	0	291	20297	2	23154	753	809	722	0	24	3100	0	13790	0	0	568554	1	0	3829	15229	9	0	16956	0	5539	127083	176187	537826	30	0	0	0	2256118	101888	185	0	1650	14	70304	158	0	0	7857	4	141	15081	2	7270	0	203509	0	1	341	200	64642	16	8075	27808	0	32	68681	35773	0	6	8	251	0	0	49	0	4
EHA02637_bin.44	259	0	22	8295	363	5424	24	96265	28	53	15	0	0	3	2099	20	14	35115	1	1376	94	25002	11	0	42744	2	19	0	45	1312	0	273	98	122	16	325	29	2	0	10	1	0	0	84	467	1	0	4	3	23	9277	14626	85682	123	88250	4	100246	5109	0	0	176	5	13	504	125292	81	1	0	1	216	0	102	251	363	3032	99234	28	69	14811	2	933	4	10	15	2259	43	5	0	129	2	0	34265	16004	0	51
EHA02637_bin.50	0	0	10	413659	0	2	0	1	0	10314	15	0	21	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	0	0	0	13	0	0	57	2	0	0	0	0	13	0	0	21	0	0	0	0	12	14	5	401	10	9	16	5	9	0	0	0	0	0	0	0	1	0	0	0	120	0	66	0	0	3612	6	0	0	0	6	0	0	2	2	2	0	4	0	20347	0	16	0	785868	0	131
EHA02637_bin.51	6376	2415	14660	10802	7265	65768	4216	1836136	61291	3951	3573	941	743	1660	42298	16713	5116	5818	3639	5083	107838	543	2520	316	1235	14629	5037	16821	27491	2589	1348	21405	63780	818	10218	60462	16512	9478	6932	34965	245	1055	729	17814	21858	412	2432	1262	1984	36382	22114	334956	338831	659	14951	899	1983055	11462	8335	6442	11640	6997	112790	4011	2713	2607	3702	1834	1308	21486	1617	9954	786	13773	27497	2841	1025	6263	7616	2999	17065	43594	4991	4372	29945	46346	25181	673	7631	2425	30280	679	23653	1458	12706
