"","Sample","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","state"
"68","EHI01639","AIG81E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.0145,45272838,32987876,0.0744561999288069,1500218647,4395067940,0.196523980487562,11.9028064194868,0.942609494311152,"Florida"
"69","EHI01650","AIF97E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.0171,47982736,657273,0.086342037888709,6367627409,90500662,0.180188456058643,18.8758978383876,0.69756814071221,"Florida"
"70","EHI01791","AII48E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.1813,58178230,46331732,0.025556292300736,1497781791,7104343275,0.0394704177827552,13.2640979288472,0.925377819623425,"Texas"
"71","EHI01789","AII81E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0421,58836674,48904350,0.0224918337568002,1220166360,7480095757,0.036363241989302,12.3239274386519,0.933689184850049,"Texas"
"72","EHI01798","AII70E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Male","United States",27.86424,-98.05131,0.1375,86515912,68050080,0.0331537542786533,2282606968,10514692748,0.0465706712398017,13.4122170547407,0.932907127672223,"Texas"
"73","EHI01820","AII64E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Male","United States",27.86424,-98.05131,0.1558,47800472,35336724,0.0216736844854287,1671464046,5236900741,0.0573823806180107,14.0594411834944,0.873869144646476,"Texas"
"74","EHI01637","AIH70E1L1I1","Coragyps atratus","Florida, 1.4 mi W of Hasan","Colon contents","Accipitriformes","Female","United States",29.85755,-82.4619,0.14,94200572,70520000,0.0632026298109349,2955389714,9820658695,0.152972691010879,13.4806559632443,0.93618215659451,"Florida"
"75","EHI01652","AII26E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.01,89098090,71073150,0.0765921561092252,2193015283,9596022525,0.18546028062389,12.489841534645,0.937764088139236,"Texas"
"76","EHI01107","AIH81E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0,24838628,19350992,0.0534855908466239,0,3402755769,0.135551457407852,11.71870706395,0.89865634578028,"Texas"
"77","EHI01638","AII37E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0707,102710446,74313030,0.0911369021857483,3405750402,9893514642,0.215450703261956,12.9449911861124,0.940577835367928,"Texas"
"78","EHI01821","AII86E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.1063,129221260,98098616,0.025113633659684,4011493448,15073145398,0.0401293503615848,14.105713490166,0.908531030982145,"Texas"
"79","EHI01659","AIH59E1L1I1","Coragyps atratus","Florida, 1.4 mi W of Hasan","Colon contents","Accipitriformes","Female","United States",29.85755,-82.4619,0.2403,85932482,64765984,0.0747092998903401,2669808970,9184268505,0.149063125629499,14.2424280202746,0.913916321242801,"Florida"
"80","EHI01104","AII37E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0752,47142124,34389904,0.0842882639443269,1532780476,4617462065,0.203564484510348,12.3739581560261,0.912385874943385,"Texas"
"81","EHI01643","AIH92E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0028,36602400,28302472,0.146859885725879,972774455,3665609366,0.279247389407038,11.6431671274625,0.920883267936371,"Texas"
"82","EHI01802","AII92E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.1145,43543850,34367236,0.0191070247938538,1164392552,5263822142,0.0346297450406848,12.4747782354942,0.926270959262523,"Texas"
"83","EHI01648","AII15E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Male","United States",27.86424,-98.05131,0.2138,67976660,50803184,0.0570220090890454,2144622005,7153414733,0.140112306918729,13.869041149269,0.902505910621625,"Texas"
"84","EHI01110","AIH59E1L1I1","Coragyps atratus","Florida, 1.4 mi W of Hasan","Colon contents","Accipitriformes","Female","United States",29.85755,-82.4619,0.2606,41048108,31033496,0.0674561735315733,1263811225,4434919929,0.136896223269537,13.7937055340838,0.887616007081258,"Florida"
"85","EHI01793","AII53E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0208,46302750,37251984,0.0337307684714766,1109386207,5727298935,0.048857285530152,12.3352338208601,0.938288277570347,"Texas"
"86","EHI01646","AIF70E1L1I1","Coragyps atratus","Florida, Lake Butler","Colon contents","Accipitriformes","Female","United States",30.02768,-82.34884,0.077,61736414,44858976,0.0557195455688435,2087261736,6038527497,0.171421051488452,12.7005450390565,0.916239189385013,"Florida"
"87","EHI01095","AIG75E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.0416,49167404,4204352,0.054713030175953,6434078753,628965749,0.0947113477826387,20.379138517883,0.688342990445103,"Florida"
"88","EHI01224","AIH86E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.235,20276532,14329928,0.0292857327513159,790965528,2203675482,0.0442347328116368,15.0072106998338,0.805782539533128,"Texas"
"89","EHI01188","AIH75E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0,19697160,15626528,0.0307457336575669,0,2906365798,0.0465605365567997,11.4956901793285,0.918156060607444,"Texas"
"90","EHI01182","AII09E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Male","United States",27.86424,-98.05131,0.7058,22167158,14645337,0.0219246683956891,1030494081,2244734042,0.036586818366465,15.7959914798115,0.871795183846368,"Texas"
"91","EHI01152","AII15E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Male","United States",27.86424,-98.05131,0.2256,40517656,30418952,0.0510024354953492,1262366627,4322323101,0.127975723244184,13.6494093205035,0.876757105598177,"Texas"
"92","EHI01654","AIH26E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.1309,89882678,69667096,0.0385036781701118,2516531544,10411436487,0.0780430677613706,13.3021729596703,0.939446914505825,"Florida"
"93","EHI01128","AII26E1L1I1","Coragyps atratus","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.0087,55729130,44636996,0.0700824380699943,1351155668,6082767271,0.173031471451235,12.2112385987219,0.919105141272968,"Texas"
"94","EHI01097","AIG81E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Male","United States",29.94825,-82.32286,0,24965912,18176998,0.0683449701683501,0,3277774408,0.184553451958372,11.4365617049974,0.928443621122754,"Florida"
"95","EHI01220","AIH20E1L1I1","Coragyps atratus","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Female","United States",29.94825,-82.32286,0,23010076,18611380,0.0338647549484352,0,3391040421,0.0507915841962462,12.0280588704207,0.913123469508779,"Florida"
